depth,current,temp,air_temp,turbidity,rainfall,wind_speed,gust_speed,humidity,cloud,feels_like,dew_point,uv_index,is_night,condition,safe,safety_level,message
2.0,1.91,30.2,33.2,28,5.3,2.0,9.2,89,37,33.2,27.2,0,1,2,0,Danger,Swimming not advised due to weather conditions
0.53,0.14,27.3,29.3,64,2.3,16.0,23.9,62,50,32.0,25.5,1,1,3,0,Danger,Do not swim – high turbidity detected
2.75,0.83,20.2,21.4,64,0.7,17.3,17.6,73,80,22.4,16.7,1,1,1,0,Danger,Do not swim – high turbidity detected
2.69,0.45,33.6,37.5,38,2.5,32.4,39.699999999999996,74,71,39.8,33.4,7,0,1,0,Moderate,Swimming not advised due to weather conditions
1.59,1.67,25.0,26.4,45,1.8,5.8,6.0,68,87,28.0,23.2,10,0,2,0,Moderate,Swimming not advised due to weather conditions
3.42,1.57,21.0,22.8,45,12.3,29.8,34.3,92,47,24.3,18.1,4,0,1,0,Moderate,Swimming not advised due to weather conditions
1.6,1.17,25.4,30.299999999999997,7,7.2,19.6,27.3,98,26,32.4,26.6,9,1,0,1,Safe,Conditions are safe for swimming
0.63,1.31,24.4,26.9,27,4.6,18.9,20.9,72,31,29.299999999999997,22.1,1,1,3,1,Moderate,Use caution – moderate flow rates in effect
3.03,1.76,31.3,32.2,34,10.7,11.4,12.6,84,61,32.6,29.3,8,1,1,0,Moderate,Swimming not advised due to weather conditions
1.72,0.41,27.5,29.9,55,1.6,8.5,10.2,91,95,32.1,26.3,0,1,4,0,Moderate,Swimming not advised due to weather conditions
1.51,1.04,24.2,25.599999999999998,63,4.7,17.6,18.1,96,95,29.2,22.6,1,0,1,0,Danger,Do not swim – high turbidity detected
4.44,0.56,29.4,33.199999999999996,21,6.5,12.9,19.2,65,85,35.3,30.8,0,0,1,0,Moderate,Swimming not advised due to weather conditions
1.25,0.18,28.3,31.7,23,6.2,28.3,31.8,66,51,35.5,28.1,6,1,3,1,Safe,Conditions are safe for swimming
3.2,1.5,22.9,25.599999999999998,46,1.5,23.1,31.3,61,0,25.999999999999996,20.0,4,1,2,0,Moderate,Swimming not advised due to weather conditions
1.86,0.76,30.2,34.7,28,2.6,31.1,39.6,67,35,38.300000000000004,30.3,2,1,0,0,Moderate,Swimming not advised due to weather conditions
3.15,0.11,22.3,25.0,58,3.0,34.8,36.599999999999994,63,32,27.0,22.3,7,1,2,0,Moderate,Swimming not advised due to weather conditions
3.38,0.69,27.6,30.1,26,1.4,34.1,38.0,67,26,31.8,26.7,0,1,2,0,Moderate,Swimming not advised due to weather conditions
3.96,0.54,27.0,29.9,68,5.2,6.2,15.600000000000001,88,45,33.6,26.4,8,0,3,0,Danger,Do not swim – high turbidity detected
2.21,1.94,33.5,37.8,67,1.8,6.7,9.4,62,17,40.0,32.1,9,0,1,0,Danger,Do not swim – high turbidity detected
0.89,1.27,33.9,34.6,31,1.7,11.3,19.8,68,42,37.4,30.4,9,0,1,1,Moderate,Use caution – moderate flow rates in effect
1.52,1.26,21.1,21.1,40,8.0,22.7,29.7,75,13,24.700000000000003,17.7,1,1,1,1,Moderate,Use caution – moderate flow rates in effect
3.19,0.72,22.2,27.1,26,4.5,1.1,1.5,65,14,28.5,24.6,0,1,2,1,Safe,Conditions are safe for swimming
1.36,1.28,21.2,21.5,51,6.0,4.8,6.1,89,18,24.7,18.4,9,0,0,0,Moderate,Swimming not advised due to weather conditions
1.24,0.25,26.0,29.4,5,1.0,5.5,8.0,84,0,33.199999999999996,24.4,4,1,2,1,Safe,Conditions are safe for swimming
0.69,1.18,22.2,22.8,33,0.6,1.6,2.0,64,75,22.900000000000002,17.7,4,0,1,1,Moderate,Conditions are safe for swimming
